"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0xfa080f371f2b9986dfd0a692da4da343178233d0","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","75,187,325.9559408784755","Airdrop ERC20"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x9d4fd1966472c4bc49b22d9ecfa2d8a117f87211","6,207.09658168","Airdrop ERC20"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x55fbc82a698083774c3fae30498ab07729cec383","5,852.405348441","Airdrop ERC20"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x761af074b07974b128d3c25308f4746c26f89a39","35,469.123323884","Airdrop ERC20"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xfeab1f3bdb465b1bffad37abcf280935b54f9f32","35,469.123323884","Airdrop ERC20"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x5b8fa8b9f2d224e886e5dd92c8ab1b46659e1f89","106,407.36997165301","Airdrop ERC20"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x267c3a982b8ee87b4217a9bc0be037ebe132e61f","8,867.280830971","Airdrop ERC20"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x14a9f89cdc004d3a7e63e305f85c4863fcbf0e3d","388,386.90039653203","Airdrop ERC20"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0x356f7ec8eed112818cdcbaf89df69b0c7a092555","5,852.405348441","Airdrop ERC20"
"0x25a1a73221d9d2eb92a9be77cd775536b59f4cb74bfaa47e288d6b2aa00a9b9b","17292321","1684484531","2023-05-19 08:22:11","0x2c952ee289bbdb3aeba329a4c41ae4c836bcc231","0xe77a316661d2fbe33853658cfc5b5952d9d37680","168,207.197299799","Airdrop ERC20"
