Address, Current Balance, Expected Amount
0x03799771def3b2987de746aae470a401b5979342,139422,58524
0x0386ea1fba7a646b899a2faac10b6d4f52bfe9a7,145600,145600
0x03a33d1d1992a7cd57a98d061de954724fd904ca,28382452,2039474
0x03d1403e307c09772494c0adffe0eb205a51d606,2328535,2328535
0x03dd6152d73e00efcd29db84934649fc6de4a9a9,180732,180732
0x03dea0dce251c5fac58667c58f172975fd695b0a,58524,58524
0x03e0fa4e88c47fbe0c31cc09d336a29eb03b1701,104710,70938
0x03fb362c86a998f2481621c5fd93189739d7bde2,886728,886728
0x0409c1a79460a7c59a12f13731ec8515af5106c4,6073771,6073771
0x041725368494b892d4aebeeafde1839e347b0156,286065,286051
0x0418910e32ef0c4d79d6914bfb13534942741350,177345,177345
0x0427f706027c4a55e6326359df483bff71993fee,886728,886728
0x043c3f8670767f1643bd91c7429c0ae9134a20b5,349300,195080
0x0440652815eb3b0b7e1c1f799600374dfd9f0a49,58524,58524
0x044641100e66b3bfedede35b4706ac3aabc00037,58524,58524
0x0456185548cf13527e62fc2097a4b7e9c4bef294,697508,354691
0x046c0bccd056bfc90d94c463d44d2035546a27dc,95872,88672
0x047fb6bc0538df70fa0f0066df37c8396d431bcc,246554,246510
0x0482bad6fdc62e7f6441f8c89111a1ddf0fd03fc,886728,886728
0x04b5b54824b060f8f155c88feb02e9dd4f089ecc,106407,106407
0x04c56b56735832c67768129d451de82ea3773967,88672,88672
0x04cb9f14ec7372bc0cce89756a395787703d8bd2,177345,177345
0x04cbebc63da81ef44ede744be6e38df00a452da7,186212,186212
0x04d6f73b2ae33f0e1506e815b411d0228d61b81c,1773456,1773456
0x04e01aed51340fb6fe8a2f0d14de56e4cbd892dd,212814,212814
0x04f4ea70913ef66977980ef2ce2908109dd5fd04,999999,780320
0x04f8851060cdcab5d82c3adcdb4dd636f5fdb1d4,2660184,2660184
0x0509f25f722366fe03e56b1688163a7b547af94b,443364,443364
0x050e21a24d7f70b899c5abcc06f1938cf14d13ae,203947,203947
0x05303c866bfd883c22fa90dedfbc67db995ce25a,4442771,468848
0x05335b99eec3538c33b2b2cc7f613ca824ce79e2,99313,99313
0x053a081df42ae81da69acccd508e156d3ef3d3d0,177345,177345
0x0543c0ae43a4bd1b05ada1e5bd203ef38d5c107f,499384,235869
0x054825bcbb4c3d6a2992f7b207f6b02be22dd206,85012381,85012381
0x054cf4271a865b61c34536b85c76de5ddb3508db,177345,177345
0x055931f19390122fd97918cc28148c2fed44dee1,58524,58524
0x0559fb44abe3b55074593e22d7e8dfc73750038a,354691,354691
0x055da853895932d13c1a8b47421017ca22bbb0a6,532036,532036
0x055f5f8650b82a9a7aeeb124a67eeff4d8f2515f,177345,177345
0x056e2bd2eeee9d37059f6258e386b76b324ff49c,94072,94072
0x057931155d0c6355b1bd108b0fbfe9bc77d59ef0,886728,886728
0x057d1e845402b371eb793135f877966b47577e28,177345,177345
0x058031f5ebd1d0467ad62adc5f397be24dfbae75,866514,496567
0x058165e419c613eefb4d5cb92502bfa4dae50599,3369566,3369566
0x0582d79397df1f2e38a0f082c3596fc477095e2e,884954,884954
0x058ad0fbd09053d96425cd87f2a8dbccffcbaa5b,401471,400269
0x058c39c59f31f5809c190b5fb4570e930a170403,177345,177345
0x058d6021bdc6b7dcc7a23b41a581e4091b7270b2,177345,177345
0x058db471555c012063ecbd0fa271e3a8453aefb1,177345,177345
0x0595c3fd509d0ae3c3a559ac638c3a0998c67ad2,88672,88672
0x059f825206540fee5b529091c594a8809b0cf218,88672,88672
0x05a2e17654d695d9aa373597658512acfc6224a0,886728,886728
0x05a66b84bcfba073868511979af1e72a74c2926a,505435,505435
0x05b3e5ac87955a526a7ff8589c595bca81d4a341,133557,65812
0x05b3f3b9d5327bb621c2ea3b607af1598ad81745,25368,8867
0x05cbba06fa5bf8d62a7ca02baa3ffd0e30a9132b,779314,779314
0x05e0ffc4ef73ee71768c0d3df568ceb6fead2dd6,875595,532036
0x05e993f3e1fe5be4f5ac3108ea02536a44ab2b6f,945869,88672
0x05fd6418c38d253ce9ade175b31a1ad9fe03fb0f,1773456,1773456
0x060a6e6088e7e6f58044be8436f46fc60ba50707,177345,177345
0x061202af4c55a68d3db3c86ec634783ac990be5d,266018,266018
0x0616d5890accceb0548e44b69c564ac6e0bf170a,141876,141876
0x061716a85aba5e37626e4a2c33596d59823d30b8,58524,58524
0x062465cc9fec013d6af20f7e0a196bc5c73e6f8e,118112,118112
0x062e7f2992c23d916bbc956efabea8aff2feb09b,198627,198627
0x0633ece563bfde0f4dce8b0258e3d29e9b8bcdc6,173798,173798
0x06399252e4c642b6ef5db98eab47753f919dc1fc,177345,177345
0x06631c93943350bc223ada4f1758c3d67708b56e,104272,104272
0x066bf3a963385bc295b8eb741dba54c23d8aaaaa,891061,886728
0x0670e8185341f9d24e80ac5db036619264405f9c,534122,187068
0x06724fe0bedefc0a7287a68c1f1e5e48de05630e,100000,88672
0x067610ce1f09dbd67c11ebef948e716bf81f7ce6,8152467,7596147
0x06777663540134bd29728992cafceb27e8cd1198,1330092,1330092
0x06795810cdbbf4179dc154e57998fa98439a8fe5,443364,443364
0x067c12ca63427e2980a2655811c412e25ec5186c,354691,354691
0x0680007b09e5a1d3f6a79aac4eb37fbe9dfd766f,382535,354691
0x068bda63b22ac5495fd6a19ad42dc11fe920fdc0,177345,177345
0x068f4cd447870fb56d3d10aba212efea002e2d82,2447369,2447369
0x06951226085784ad6bd3f63149fa2d4e834a3a8f,600000,88672
0x069e608b4e560c1db571007fdef58e139a618d2f,1773456,1773456
0x06a160150149a3300948a671b2f99b8449ab6ad1,177345,177345
0x06ac4c337c60b67a77ab43819071da3eef462ec3,8867280,8867280
0x06c6a7c0bc849d795dbdefdc48007f4f53845878,211930,211041
0x06c9e48415e7fa3ca1ae0c0920b59435b94667a6,99400,88672
0x06d3bab3b5eef1f2c8dbe245389fd93c9a08c1d1,90549,62070
0x06d48ff93e08cc9bfa972a0acd3dc53d7b9c4aa7,1145941,443364
0x06d764c47c4ece18e0a9239444edbb187780efeb,58524,58524
0x06e21629ff53be6a9d240ebb6244a41e5720b8e8,177345,177345
0x06e5741722b8efe11baa4e9d4a4624c16a3fd481,248283,248283
0x070494f81388f55a4e9817e8a1c7698a3dc15c57,117048,117048
0x071c2a2a6b293d85c260c8090af3111dd64308ff,620709,620709
0x073f4f60019623f2d085fdaaff910c802c7eadaf,532036,532036
0x074631095645e426e50b478d40301dd35e74f24c,58524,58524
0x0751633a5f55cbb26cc6abb6b39648b12ebe70c6,88672,88672
0x07550ee5cfc21043890e4c913c8d550045f2c5ca,4755244,88672
0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,2510491,1231133
0x07673c6f2bed45c495ff7c608f4beb165b8ca787,171349,171349
0x0772aa9dd5feec6fc3401ef317284b871e25f911,370924,67391
0x078724d69bc1ce462a2172cba0a249e062666566,886728,886728
0x07883e4598cb42e32c09ec4db6246ebbd510e183,478833,478833
0x07c38f7b7d3341e1c1d7fbe6f03ae7183bdf8684,511292,106407
0x07cad52604a7265cf37290a3db418f4b2d390ab4,8867280,8867280
0x07cceb946dc3c1869308c015fe2452f1ccdd9ea4,231130,88259
0x07cf1757e7f0331168509054c952044b80013b06,217852,198627
0x07e1741f8606be828b68e577e2cd5a37f4f7f2bf,2350855,620709
0x07f712b8f7a157614b34ea3040f9d1e1489bb95e,70938,70938
0x0813a7ba4ba6baf5e9ade5c9aba1d280d0b09b74,1000000,620709
0x081e49811fe5811d075ce5db56d47c09a3eac9c3,354691,354691
0x0823fe5e67a963713fd4263184cebf8d0fb08603,60297,60297
0x082a55c3f287d12376b206876d2f7ccb955f83de,744302,421427
0x0831b13fe614bbc29fa972c888890642b6071383,179119,179119
0x083669b3ef61b43e1f2fab85717fe1523410fc0c,133009,133009
0x0842f3147ad4d2ccaa4a88c01ecd71750712d45e,268870,237643
0x08492eaa6301b71aabe8c269f03663b6b6a2d116,76218,76218
0x084d5c8840e62d6beb9658cbc5a34752fa639a07,354691,354691
0x08646687bca0a739c073208b32e83f3da07533a7,708031,602975
0x087674dde24f5f46d038051a8aa39c37c39a6aa2,3992361,532036
0x08787083cec635d6668292acc0b9cfd65bf675c8,62070,62070
0x087d7dfd87e8b5f2a9d6674c0c0f650626b7e783,1091638,709382
0x088350d5a27552347b7fd9ba38b44508f59d6692,26000000,8867280
0x0888ad7d13c91a1c76ecfba6cd572801d5afceb6,2402272,1773456
0x088ca847aeda6fd7b82e8b7d537dd2048de17dd6,139424,139424
0x08942bd804c55784cd689eed4eb7f980a72e3927,803186,727117
0x0896642c5420e3bf1b77e1ac2231486eef026dd3,177345,177345
0x089e18b78861fb83314a33f6366f4d4e26563582,277590,248283
0x08a1d69e63816f462148c6627051e8562ac9693d,88672,88672
0x08a4f7c5b0021ca15d65e410b22825aadc84aba1,62070,62070
0x08b71a378d2aa1f361bf3863f89d03798c247d6b,443364,443364
0x08c543ad8fb9acd95f019a4964bcb7d4d4d50c9b,111727,111727
0x08cd2075ed03f3723ab33615af30ef99a1b85bda,532036,532036
0x08cf5e1e29d10d48f46183a68a0bb560a812fb92,443364,443364
0x08d3a52197c7bea6575dbfa5a2cf00e83db7d537,1950801,1950801
0x08e6dbc31de7befd6e8970a1630b2ddaeb71fb56,408883,105918
0x08e727aae1bb1fc04d6afaef1b6b983a0c57b0cd,2531693,1471968
0x08e88e0b8aeaedebdace3259129f7ee1746a525b,1014037,886728
0x08eadd9006bea20f553cd7eb8eb8d3117158a369,27492,27492
